client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,timestamp,confusion_mean,classification_score,class_label
1,1,0.013943057722308892,0.0,0.12253004497265763,0.07692307513493758,0.6392333437696379,0.9708398619815976,0.6701754243085644,0.9777330879887354,0.95,1.0,2025-08-21 11:03:54,0.07041666666666666,1,0
2,1,0.002047581903276131,0.15816424214466562,0.15852213686846062,0.07063829879557833,0.7293828706372997,0.9765920178245989,0.6915007981235952,0.9764744297693764,0.95,1.0,2025-08-21 11:03:51,0.07833333333333332,5,1
3,1,0.3792901716068643,0.15400351310475657,0.14165333912895395,0.08030643326089745,0.6487683898999173,0.9551467973507579,0.6533456038049321,0.9800812063078816,0.95,1.0,2025-08-21 11:03:53,0.10171428571428573,4,0
4,1,0.31318252730109203,0.16094748460928643,0.14878678216151242,0.09008028967690511,0.8592617562839515,0.9899965828777171,0.8203488940287325,0.9782782575142642,0.95,0.9583333333333334,2025-08-21 11:03:56,0.10547231270358307,8,1
5,1,0.09087363494539781,0.21864001470004618,0.1345418711578702,0.07832984965790785,0.39934025187255684,0.9681263057296529,0.8740349219793465,0.9796955664379489,0.95,1.0,2025-08-21 11:03:53,0.09300970873786409,4,0
6,1,0.4581708268330733,0.09912634969912579,0.14417717091458737,0.08347936255258227,0.8775372613281174,0.952729113881851,0.8609595400201975,0.9845148562541118,0.95,0.9583333333333334,2025-08-21 11:03:54,0.10205183585313174,6,1
7,1,0.39752340093603744,0.14196207029036806,0.14132693299606036,0.08775042397938732,0.33266716429582466,0.9545133795617193,0.3876478157474672,0.9532560530077933,0.95,1.0,2025-08-21 11:04:14,0.10825857519788919,4,0
8,1,0.01501560062402496,0.3391388224631433,0.12708363188703165,0.04666666782895724,0.9045773037073244,0.9701571320620528,0.9805192689839398,0.9882517175806514,0.95,1.0,2025-08-21 11:03:50,0.0782608695652174,5,1
9,1,0.16994929797191888,0.10222655113940769,0.15842691160207023,0.10109666571184496,0.7537502107036624,0.9818031293061297,0.6846556666775254,0.9809579602002075,0.95,1.0,2025-08-21 11:03:53,0.10529761904761906,7,1
10,1,0.10676677067082684,0.20005636729891943,0.15082547220535814,0.08524531585759716,0.7134429703237588,0.9562865326487976,0.6678095579372577,0.9786333538275471,0.95,1.0,2025-08-21 11:03:53,0.1037962962962963,5,1
11,1,0.0,1.0,0.18300291881439812,0.12000000464916229,0.9043124413123249,0.9853793005734098,0.8861452259178422,0.9852327397042944,1.0,1.0,2025-08-21 11:03:47,0.04333333333333333,8,1
12,1,0.12909516380655225,0.13763343865794875,0.13600993405594963,0.06939259450047104,0.6814427776895724,0.9600946792905721,0.9786379776525393,0.9865733601296277,0.95,1.0,2025-08-21 11:03:52,0.09712230215827339,3,0
13,1,1.0,0.1385564745938103,0.15014046204730058,0.08967127187501084,0.6583997495892369,0.9607996343956973,0.7513641398182233,0.00898332146016656,0.95,1.0,2025-08-21 11:03:54,0.10302605210420841,6,1
14,1,0.2528276131045242,0.1027542450015828,0.14290398575947594,0.08151202303396467,0.7126002263368157,0.9548668989198561,0.24032478743851193,0.9538080344056685,0.95,0.9583333333333334,2025-08-21 11:03:58,0.10034482758620689,2,0
15,1,0.06825273010920437,0.06325087688414269,0.14661269998066873,0.08033057791043902,0.6409429101198292,0.9696056696448415,0.6808157148907059,0.9811199069717975,0.95,1.0,2025-08-21 11:03:53,0.10083333333333332,4,0
16,1,0.045826833073322935,0.19500472654364423,0.1380004077561201,0.07112903337348854,0.9111507067041204,0.9661163155087344,0.8105433755741603,0.9806562601766077,0.95,1.0,2025-08-21 11:03:54,0.08551724137931035,4,0
17,1,0.9827418096723869,0.09784180920183827,0.14466754481386912,0.08679663283645606,0.7368712528127437,0.9336772680801886,0.6121200768804769,0.9763900504474081,0.95,1.0,2025-08-21 11:03:53,0.10248478701825559,5,1
18,1,0.31464508580343215,0.09205345298963111,0.15168266059233304,0.08276667696649831,0.8408658592461359,0.9567609014535271,0.5506930644688406,0.9770464073086556,0.95,1.0,2025-08-21 11:03:53,0.10071207430340558,5,1
19,1,0.08239079563182528,0.12731171244796616,0.15315185041664203,0.07820895594091558,0.7136115191103836,0.983044961550429,0.4678144444082484,0.0,0.95,1.0,2025-08-21 11:03:53,0.08797979797979798,2,0
20,1,0.0019500780031201249,0.12966277706604906,0.11589599124921646,0.0730434731737427,0.8299583443747942,0.984765329821754,0.8338111216079747,0.01148899179455043,0.95,1.0,2025-08-21 11:03:52,0.0657142857142857,3,0
1,2,0.013943057722308892,0.0,0.2029221448676245,0.08923077149574574,0.8001492860743682,0.9398419789305241,0.8579136397693585,0.9823319807738199,0.95,1.0,2025-08-21 11:04:35,0.065,1,0
2,2,0.002047581903276131,0.15816424214466562,0.19737171120855168,0.026382977107737928,0.8283210132252777,0.9444849591056586,0.8623277518975796,0.9900619177222505,0.95,1.0,2025-08-21 11:04:34,0.06714285714285714,2,0
3,2,0.3792901716068643,0.15400351310475657,0.22974612842355713,0.07579162400333825,0.7645854903653593,0.9165770713872962,0.9423070658370525,0.9888751137692551,0.95,1.0,2025-08-21 11:04:36,0.0955121951219512,6,1
4,2,0.31318252730109203,0.16094748460928643,0.22624315873397405,0.06920321087420465,0.9498206159300224,0.984807002044717,0.9194139492458546,0.9897619756011917,0.95,1.0,2025-08-21 11:04:34,0.09665671641791045,8,1
5,2,0.09087363494539781,0.21864001470004618,0.22061858942794788,0.05118997730492052,0.5707543762567646,0.9291766680001778,0.8234803075219077,0.9843017105710151,0.95,1.0,2025-08-21 11:04:37,0.0870909090909091,1,0
