client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,confusion_mean,classification_score,class_label
1,13,13679.0,0.06352762877941132,0.732744038105011,74.25981163978577,70.72999999672174,5518.282752,95747.0,128854.0,38953.0,0.0,0.09999999999992688,8,1
2,13,3530.0,0.06357087939977646,0.6709913611412048,77.08215117454529,56.43000000342727,5361.537024,902.0,39041.0,38953.0,0.0,0.09999999999971576,4,0
3,13,20.0,0.05938616022467613,0.515221357345581,75.0,13.620000004768372,4434.358272,32934.0,23854.0,38945.0,0.0,0.08641975304382715,0,0
4,13,9.0,0.06863930821418762,0.14540249109268188,100.0,44.07000000029802,4447.281152,8723.0,31423.0,38945.0,0.0,0.19999999985333333,3,0
5,13,1456.0,0.0626995638012886,0.7406048774719238,75.34340620040894,35.730000000447035,5232.091136,39377.0,47920.0,38953.0,0.0,0.09999999999930992,2,0
6,13,10385.0,0.0634772777557373,0.8499046564102173,70.18777132034302,22.399999991059303,5696.196608,53499.0,71184.0,38953.0,0.0,0.09999999999990364,7,1
7,13,784.0,0.06492987275123596,0.6046106219291687,79.84693646430969,50.66000000014901,5217.865728,77585.0,52892.0,38953.0,0.0,0.0999999999987152,4,0
8,13,4435.0,0.06335093826055527,0.7481768727302551,73.73167872428894,64.77000000001863,5357.19936,31909.0,70081.0,38953.0,0.0,0.09999999999977405,4,0
9,13,9889.0,0.06286796927452087,0.7963611483573914,72.08008766174316,34.15999999642372,5699.383296,50799.0,57083.0,38953.0,0.01,0.09999999999989888,7,1
10,13,5813.0,0.06278534978628159,0.7212938666343689,75.62360167503357,78.56999999284744,5470.777344,56022.0,92121.0,38953.0,0.0,0.09999999999982767,7,1
