client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,confusion_mean
1,18,13679.0,0.06352762877941132,0.5923323631286621,79.36252355575562,69.69999999925494,6448.279552,94220.0,107621.0,38959.0,0.0,0.09999999999992686
2,18,3530.0,0.06357087939977646,0.6281555891036987,78.10198068618774,57.98999999836087,6356.299776,1498.0,30824.0,38959.0,0.01,0.09999999999971576
3,18,20.0,0.05938616022467613,0.3857603967189789,80.0000011920929,13.279999993741512,5131.69408,410.0,20857.0,38947.0,0.0,0.10937499994609375
4,18,9.0,0.06863930821418762,0.07318955659866333,100.0,44.520000010728836,5130.73152,36990.0,60329.0,38947.0,0.0,0.19999999985333333
5,18,1456.0,0.0626995638012886,0.5196020007133484,82.55494236946106,35.64000000059605,6249.5744,485.0,33338.0,38959.0,0.0,0.0999999999993099
6,18,10385.0,0.0634772777557373,0.5956420302391052,78.98892760276794,17.44999999552965,6832.758784,70710.0,101126.0,38959.0,0.0,0.09999999999990361
7,18,784.0,0.06492987275123596,0.4148281216621399,86.86224222183228,47.440000001341105,6205.800448,1214.0,34132.0,38959.0,0.0,0.09999999999871517
8,18,4435.0,0.06335093826055527,0.5665406584739685,80.6989848613739,64.78000000026077,6410.40384,34070.0,65606.0,38959.0,0.0,0.09999999999977405
9,18,9889.0,0.06286796927452087,0.6837772130966187,76.66093707084656,33.80000000447035,6728.318976,1138.0,34005.0,38957.0,0.0,0.09999999999989888
10,18,5813.0,0.06278534978628159,0.6723039746284485,76.75898671150208,88.25999999791384,6557.667328,65309.0,66812.0,38959.0,0.0,0.0999999999998277
