client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,confusion_mean
1,21,45663.963075781634,-0.7463138280688802,1.9569661060223864,341.4332527166009,745.0089042630776,24081.93464564569,440550.399390012,640650.958708119,129629.29428917046,-0.2650171951258533,-0.07720627990305441
2,21,11783.112177227653,-0.7461537752050365,1.723636962970098,351.73241020580446,609.7729486149203,24270.63042086895,4303.629885839544,236889.90436080957,129629.29428917046,-0.2650171951258533,-0.07720627991781827
3,21,65.52555254300611,-0.7616397100356196,0.3453812046166779,390.3935348279833,135.0406500603952,19233.216267044678,381877.20480434794,316065.3568285091,129582.71596656716,-0.2650171951258533,0.5783890691951588
4,21,28.803771098125452,-0.7273975922858948,-0.7796299809327074,434.13516033991436,475.07793675695166,19226.030451949904,215889.3340195006,263153.1380863924,129582.71596656716,-0.2650171951258533,6.915810807048544
5,21,4859.38720298379,-0.749378158015558,1.7850488167120313,356.0251445795052,334.75710927144314,23575.614368877952,460566.4164828267,287760.85585497704,129629.29428917046,-0.2650171951258533,-0.07720627994619887
6,21,34667.45870492374,-0.7465001566225161,1.7075500166077426,355.87622111964464,310.4146373023329,25894.954520006926,369930.17423260637,337643.3196660825,129629.29428917046,-0.2650171951258533,-0.07720627990467704
7,21,2616.0201910783535,-0.7411246964077972,1.3893168256826112,369.41542852608376,553.6229798723336,23524.8546889969,2995.1455851249925,233739.60215137614,129629.29428917046,-0.2650171951258533,-0.07720627998778765
8,21,14804.313287011017,-0.7469676874428778,2.2816036732717646,331.85769846706285,695.4584500973264,24250.80847184504,315893.56532121345,529321.5288426052,129629.29428917046,-0.2650171951258533,-0.07720627991374032
9,21,33011.64019613639,-0.7487549582082433,2.150233528633365,337.0445993287498,370.13483533422817,25696.41948499321,37717.38840553578,279772.58953819936,129622.64024308427,-0.2650171951258533,-0.07720627990501283
10,21,19404.55099892425,-0.7490606991569365,1.3496728987523132,365.65954341043425,949.4856691260313,24791.16455543893,440000.45671290014,569865.5968186044,129629.29428917046,-0.2650171951258533,-0.07720627990998846
