client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,timestamp,confusion_mean,classification_score,class_label
1,48,0.1730749300445642,0.16721557271176576,0.11179483011369762,0.07713935353189565,0.9691223648452075,0.8092592344552082,0.2894125347733595,0.6529438269750676,0.8,1.0,2025-08-20 17:23:35,0.1049390243902439,6,1
2,48,0.685874183853249,0.5137958385998659,0.07013859774859132,0.02383398351949406,0.8334097158584161,0.8036956237840589,0.511062019309442,0.00010513667768097257,0.8666666666666667,1.0,2025-08-20 17:23:43,0.11078073089700996,6,1
3,48,0.760182402321484,0.19506439508576906,0.01722525703932931,0.0032300351583705693,0.9646539871818894,0.907618613902497,0.9985436098838161,0.9382847702012617,1.0,0.0,2025-08-20 17:23:35,0.10877761413843888,7,1
4,48,0.053373406570629084,0.6505080595231728,0.7415080332108571,0.7219245426143263,0.5427360219828117,0.0514445631318291,0.9835215185730649,0.3564133373385401,0.06666666666666665,1.0,2025-08-20 17:23:43,0.09278688524590162,4,0
5,48,0.05119701523473935,0.0,0.1251252523883325,0.028407129699427984,0.8030476627269242,0.681286143378081,0.3042709867452136,0.357194352658456,0.7333333333333334,1.0,2025-08-20 17:23:42,0.09732142857142857,1,0
6,48,0.10840501606384081,0.22004901582629607,0.09735586590178102,0.00761654164544206,0.9853345554642238,1.0,0.5111765668466699,0.49626013817963355,1.0,1.0,2025-08-20 17:23:35,0.10349056603773585,5,1
7,48,0.17120945175665872,0.5738253905145232,0.43332782997990804,0.41565164885589234,0.8302589367657791,0.3524504666200102,0.0,0.2983478522078702,0.33333333333333337,1.0,2025-08-20 17:23:43,0.10076923076923075,5,1
8,48,0.41496528137630845,0.3200448619427135,0.08614585460827351,0.07038621784294412,0.9668308890793886,0.8458144838047529,0.9960399279986909,0.8188795434064283,0.8666666666666667,1.0,2025-08-20 17:23:37,0.10587467362924281,7,1
9,48,0.030676754067779043,0.8468364220424872,0.777771848970848,0.7772542111567587,0.7630614115150418,0.22115059419964722,0.32799869088528877,0.048903574647041204,0.19999999999999996,1.0,2025-08-20 17:23:44,0.07543478260869564,3,0
10,48,0.46916778940822884,0.1809372348190578,0.4334910388728749,0.3823211472246109,0.70514436298249,0.5390088970891083,0.9951726395025364,0.6656653649744668,0.6,1.0,2025-08-20 17:23:38,0.10696261682242988,6,1
11,48,0.10249766815214012,0.5032647546933994,0.7525151749371676,0.7207004894002234,0.672147112765656,0.10850212800155379,0.9907871052200949,0.48571643136076903,0.06666666666666665,1.0,2025-08-20 17:23:42,0.0936936936936937,4,0
12,48,0.0,1.0,0.9970947251498967,1.0,0.7950274977066156,0.0,0.40142366224840453,0.0,0.0,1.0,2025-08-20 17:23:42,0.07285714285714286,3,0
13,48,0.008083739247590423,0.09455228058099917,1.0,0.942016005537925,0.0,0.21823066130452717,0.06795941744395351,0.34151396815860624,0.2666666666666667,1.0,2025-08-20 17:23:41,0.06789473684210526,2,0
14,48,0.05451342107990465,0.41230063831346236,0.2626448568618217,0.22813054925440443,0.9847616865227691,0.8460011652943206,0.9509245622647684,0.8985431060378493,0.8666666666666667,1.0,2025-08-20 17:23:35,0.09616666666666668,8,1
15,48,0.1010467405948803,0.4571329104284189,0.014130158896446976,0.0,0.9741063244784738,0.7555317994756175,0.9780068728522336,0.9199008711324722,0.7333333333333334,1.0,2025-08-20 17:23:35,0.09771428571428573,6,1
16,48,0.20572080008291013,0.1306000779347658,0.2198893454142704,0.2134908601816058,0.9938130155790084,0.7016997224054621,1.0,1.0,0.6666666666666667,0.0,2025-08-20 17:23:34,0.09788461538461536,7,1
17,48,0.07057726189242408,0.40589376739438743,0.12071117590180902,0.1752808832636619,0.9843606782984299,0.7889712259365049,0.5252659139257078,0.5173775908681286,0.7333333333333334,1.0,2025-08-20 17:23:35,0.1076470588235294,6,1
18,48,0.5812001243652192,0.109524063843218,0.0,0.002772436317494645,1.0,0.9001747941480794,0.9684994272623139,0.9298588164613998,0.9333333333333333,1.0,2025-08-20 17:23:35,0.10903660886319848,7,1
19,48,1.0,0.14995519739848298,0.176601415507728,0.14713144897772923,0.7039413382081026,0.4568983414647213,0.9961544755359188,0.8810303394412736,0.6,1.0,2025-08-20 17:23:36,0.10874439461883409,4,0
20,48,0.03440771064359001,0.5649123431661661,0.4227163817566899,0.3709746539507454,0.37757791017085607,0.5418225136202146,0.5165439371624938,0.07114749173926105,0.4666666666666667,1.0,2025-08-20 17:23:42,0.08148936170212766,3,0
