client_rank,round,timestamp,cpu_time,cpu_freq_mhz,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load
1,1,2025-07-29 01:49:14,3775205.66,2815.023374999999,2943.6928,3859808199,17308308221,38939.0,0.0
2,1,2025-07-29 01:46:54,20210559.56,2711.6085416666688,2933.817344,30590656458,56105919760,38939.0,0.28
3,1,2025-07-29 01:49:15,9493455.11,2682.895437500002,2930.634752,14201311069,35749778298,38939.0,0.0
4,1,2025-07-29 01:49:13,5436235.119999999,2716.189750000002,2938.585088,3169589621,11899404169,38939.0,0.0
5,1,2025-07-29 01:49:14,5747300.109999999,2783.9461250000018,2897.076224,6401912914,17033121475,38939.0,0.0
6,1,2025-07-29 01:49:13,5065690.76,2804.522124999998,2922.487808,4060415007,18411645942,38939.0,0.01
7,1,2025-07-29 01:49:12,25802502.55,2806.034281250002,2948.3008,29068921250,99257997828,38939.0,0.0
8,1,2025-07-29 01:49:14,39008752.809999995,2837.309156250002,2951.520256,73002466327,69810469896,38939.0,0.0
9,1,2025-07-29 01:49:15,29003979.14,2851.0408593750017,2886.733824,195441234886,94819735025,38939.0,0.0
10,1,2025-07-29 01:49:14,11056252.28,2835.5806875000044,2930.176,10337462472,33383747694,38939.0,0.0
1,2,2025-07-29 01:49:26,3775339.62,2880.489416666667,3103.535104,3859900538,17308397650,38939.0,0.08
2,2,2025-07-29 01:49:26,20211152.31,2712.3771250000023,3137.757184,30591170083,56106706770,38939.0,0.0
3,2,2025-07-29 01:49:26,9493507.62,2690.7901041666687,3129.704448,14201379234,35749857930,38939.0,0.0
4,2,2025-07-29 01:49:26,5436304.42,2744.0391458333343,3103.45728,3171251083,11901086346,38939.0,0.15
5,2,2025-07-29 01:49:26,5747379.8,2775.3718333333345,3102.752768,6402021455,17033227036,38939.0,0.22
6,2,2025-07-29 01:49:26,5065788.04,2821.824416666665,3136.622592,4060449684,18411731397,38939.0,0.0
7,2,2025-07-29 01:49:26,25802539.590000004,2832.7560937500025,3143.704576,29068963273,99258074823,38939.0,0.0
8,2,2025-07-29 01:49:26,39008785.13,2837.403843750002,3121.491968,73002533909,69810549837,38939.0,0.25
9,2,2025-07-29 01:49:27,29004021.41,2837.566828125002,3119.169536,195441305631,94819803832,38939.0,0.0
10,2,2025-07-29 01:49:26,11056291.99,2833.5504375000037,3133.054976,10337533825,33383809550,38939.0,0.0
1,3,2025-07-29 01:49:37,3775468.63,2879.7971875000003,3315.511296,3859919181,17308460626,38941.0,0.0
2,3,2025-07-29 01:49:38,20211197.84,2690.275625000002,3341.418496,30591171978,56106753642,38941.0,0.0
3,3,2025-07-29 01:49:37,9493555.31,2713.0390625000023,3343.753216,14201440894,35749938385,38941.0,0.0
4,3,2025-07-29 01:49:37,5436350.0600000005,2699.1816250000015,3292.225536,3171312422,11901158527,38941.0,0.0
5,3,2025-07-29 01:49:38,5747448.8100000005,2744.8819583333348,3316.486144,6402110187,17033338867,38941.0,0.23
6,3,2025-07-29 01:49:38,5065869.43,2754.683520833331,3364.216832,4060525871,18411797380,38941.0,0.26
7,3,2025-07-29 01:49:37,25802570.490000002,2797.1031093750025,3346.317312,29069021267,99258135772,38941.0,0.0
8,3,2025-07-29 01:49:37,39008814.269999996,2837.619281250002,3322.986496,73002599535,69810625698,38941.0,0.0
9,3,2025-07-29 01:49:37,29004056.69,2818.3808281250012,3338.293248,195441310750,94819847414,38941.0,0.18
10,3,2025-07-29 01:49:37,11056330.09,2831.2612812500042,3342.065664,10337600589,33383898744,38941.0,0.3
