client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,timestamp,confusion_mean,classification_score,class_label
8,1,0,1,0.709344239,0.157188766,0.018471108,0,0.03051507,0.101072407,0,0,2025-08-10 13:00,0.069958848,2,0
10,1,0.538467279,0.137228375,0.757481462,0.157206684,0.055053636,0.023683152,0.241600695,0.381420804,0,0,2025-08-10 13:00,0.115913462,7,1
7,1,0.252667711,0.135959887,0.969430415,0.023524725,0.082114974,0.016143555,0.197986487,0.30360686,0,0,2025-08-10 13:00,0.098352601,3,0
3,1,0.212372211,0.364545515,1,0.038757238,0.240293676,0.01543668,0.177330727,0.22612261,0,0,2025-08-10 13:00,0.102985612,3,0
9,1,0.03335572,0,0.750930788,0,0.088610541,0.010995836,0.045515263,0.16464354,0,0,2025-08-10 13:00,0.128888889,2,0
6,1,0.09894784,0.031621717,0.769934078,0.049683137,0.161119692,0.014373128,0.368385352,0.546244178,0,0,2025-08-10 13:00,0.125514019,5,0
1,1,0.436310723,0.343625423,0.712667679,0.087127699,0.055074794,0.016912373,0.215173341,0.446694361,0,0,2025-08-10 13:00,0.100756014,5,0
5,1,0.466308484,0.140886592,0.875935858,0.110339481,0.086558196,0.017225325,0.231729485,0.272441719,0,0,2025-08-10 13:00,0.128930041,7,1
4,1,0.679949258,0.26196513,0.683134773,0.187854023,0.205594228,0.022371829,0.015018044,0.140330054,0,0,2025-08-10 13:00,0.112287823,5,0
2,1,1,0.236185822,0.558358546,0.307652465,0.257685716,0.028168934,0.12881364,0.261699666,0,0,2025-08-10 13:00,0.154942263,6,1
8,2,0,1,0.774660393,0.027525499,0.005903138,0.016713994,0.01137956,0.033508971,0.032258065,0,2025-08-10 13:01,0.069958848,2,0
9,2,0.03335572,0,0.784992499,0.073634207,0.050885471,0.037214183,0.221718447,0.224420187,0.032258065,1,2025-08-10 13:01,0.094693878,4,0
6,2,0.09894784,0.031621717,0.751132556,0.061992949,0.104034869,0.038127534,0.08041258,0.167856565,0.032258065,0,2025-08-10 13:01,0.141368421,3,0
7,2,0.252667711,0.135959887,0.805471219,0.126840016,0.055032478,0.044562689,0.093639644,0.259187992,0.032258065,0,2025-08-10 13:01,0.117750865,5,0
3,2,0.212372211,0.364545515,0.807252,0.080332825,0.170260034,0.042178503,0.121578323,0.27498936,0.032258065,0,2025-08-10 13:01,0.107228464,5,0
10,2,0.538467279,0.137228375,0.62350225,0.231109204,0.028902101,0.056660942,0.005134933,0.087381085,0.032258065,0,2025-08-10 13:01,0.122385787,4,0
5,2,0.466308484,0.140886592,0.641065667,0.169439109,0.052260754,0.046078057,0.03792889,0.088843731,0.032258065,0,2025-08-10 13:01,0.101555916,3,0
1,2,0.436310723,0.343625423,0.738621759,0.14426445,0.023866449,0.043704398,0.242752039,0.363743174,0.032258065,1,2025-08-10 13:01,0.117987928,7,1
4,2,0.679949258,0.26196513,0.530859563,0.291077549,0.136872395,0.050767887,0.119900395,0.191210939,0.032258065,0,2025-08-10 13:01,0.113122677,6,1
2,2,1,0.236185822,0.456107397,0.448931116,0.17853289,0.057672672,0.212959905,0.385449074,0.032258065,1,2025-08-10 13:01,0.132781655,9,1
