client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,timestamp,confusion_mean,classification_score,class_label
8,45,0,1,0.00164188,1,0.004104691,0.574768444,0.136878996,0.151401802,0.451612903,0,2025-08-10 13:11,0.069958848,2,0
9,45,0.03335572,0,0.048242637,0.954869363,0.051943381,0.826134219,0.322694561,0.269360572,0.903225806,0,2025-08-10 13:12,0.094693878,4,0
3,45,0.212372211,0.364545515,0.081444179,0.90068058,0.168461587,0.852778068,0.080885612,0.241348511,0.903225806,0,2025-08-10 13:12,0.095433333,5,0
7,45,0.252667711,0.135959887,0.071736853,0.915793147,0.058015784,0.854486957,0.092898857,0.257383663,0.903225806,0,2025-08-10 13:12,0.097787356,6,1
10,45,0.538467279,0.137228375,0.084569559,0.893946111,0.029896536,0.862426145,0.183920459,0.134059861,0.838709677,0,2025-08-10 13:12,0.103328571,5,0
6,45,0.09894784,0.031621717,0.071065419,0.93188578,0.108858938,0.841295193,0.026968813,0.128017456,0.903225806,1,2025-08-10 13:12,0.091986301,4,0
5,45,0.466308484,0.140886592,0.079187335,0.906777373,0.040242896,0.856879644,0.114125827,0.132489315,0.870967742,0,2025-08-10 13:12,0.100416667,4,0
1,45,0.436310723,0.343625423,0.08082583,0.905461223,0.019719442,0.86652934,0.243100119,0.227039761,0.870967742,0,2025-08-10 13:12,0.099389831,7,1
4,45,0.679949258,0.26196513,0.080619955,0.905106746,0.141104035,0.910495274,0.140987538,0.20185708,0.903225806,0,2025-08-10 13:12,0.097427962,7,1
2,45,1,0.236185822,0.094285541,0.888127001,0.199098661,0.846774083,0.148261531,0.38200826,0.870967742,0,2025-08-10 13:12,0.101651515,7,1
8,46,0,1,0.001580016,1,0.002242769,0.58981282,0.101651449,0.090168504,0.451612903,0,2025-08-10 13:12,0.069958848,3,0
9,46,0.03335572,0,0.041433135,0.959619984,0.052133804,0.846859102,0.087308742,0.234059261,0.903225806,0,2025-08-10 13:12,0.096666667,3,0
3,46,0.212372211,0.364545515,0.088403905,0.898755789,0.165499439,0.870505817,0.000124952,0.060555925,0.903225806,0,2025-08-10 13:12,0.095433333,3,0
7,46,0.252667711,0.135959887,0.065228146,0.932958408,0.054122675,0.870867351,0.006396354,0.09897435,0.903225806,0,2025-08-10 13:12,0.096129944,4,0
10,46,0.538467279,0.137228375,0.077166426,0.906593302,0.029219474,0.875744223,0.006244626,0.072622751,0.870967742,0,2025-08-10 13:12,0.101019553,4,0
6,46,0.09894784,0.031621717,0.052935369,0.93845096,0.106637327,0.859060998,0.112058168,0.127190222,0.935483871,0,2025-08-10 13:12,0.090134228,5,0
5,46,0.466308484,0.140886592,0.092039458,0.884790871,0.038000127,0.872293652,0.211505107,0.205681539,0.903225806,0,2025-08-10 13:12,0.103570248,6,1
1,46,0.436310723,0.343625423,0.10582805,0.869186924,0.019846391,0.881009755,0.028619964,0.141019416,0.903225806,0,2025-08-10 13:12,0.098554622,7,1
4,46,0.679949258,0.26196513,0.094354131,0.885065729,0.139009373,0.928118975,0.000844914,0.086344045,0.903225806,0,2025-08-10 13:12,0.098266954,6,1
2,46,1,0.236185822,0.104131811,0.873259927,0.212237903,0.867405849,0.001353647,0.087111335,0.903225806,0,2025-08-10 13:12,0.100209111,5,0
8,47,0,1,0.000667455,1,0.005776189,0.607670527,0.021081192,0.076597071,0.451612903,0,2025-08-10 13:12,0.069958848,2,0
9,47,0.03335572,0,0.040398524,0.96674585,0.051583691,0.869083564,0.124606922,0.226602166,0.935483871,0,2025-08-10 13:12,0.094693878,3,0
3,47,0.212372211,0.364545515,0.075625615,0.916848826,0.167361361,0.894566697,0.001755278,0.110429742,0.935483871,0,2025-08-10 13:12,0.095752508,4,0
7,47,0.252667711,0.135959887,0.063272386,0.927128721,0.055815331,0.898278804,0.066126398,0.230168864,0.935483871,0,2025-08-10 13:12,0.096951567,5,0
10,47,0.538467279,0.137228375,0.075054058,0.911926485,0.02985422,0.898616452,0.010127064,0.128431073,0.870967742,0,2025-08-10 13:12,0.101729958,4,0
6,47,0.09894784,0.031621717,0.058818308,0.943374878,0.107525972,0.883708512,0.126894734,0.248727678,0.935483871,0,2025-08-10 13:12,0.091360544,5,0
5,47,0.466308484,0.140886592,0.075304239,0.907305015,0.034762922,0.896869102,0.012405951,0.117089575,0.903225806,0,2025-08-10 13:12,0.101886179,4,0
1,47,0.436310723,0.343625423,0.071530232,0.92087315,0.030637073,0.909028893,0.161217866,0.247157132,0.903225806,0,2025-08-10 13:12,0.099221658,7,1
4,47,0.679949258,0.26196513,0.094311456,0.883375526,0.141950363,0.956275764,0.301184962,0.418604372,0.935483871,0,2025-08-10 13:12,0.09816129,9,1
2,47,1,0.236185822,0.094737952,0.885662874,0.193618687,0.896429025,0.155892529,0.276380072,0.903225806,1,2025-08-10 13:12,0.101421013,8,1
8,48,0,1,0.002703019,1,0.00423164,0.623890599,0.133222662,0.090444249,0.483870968,0,2025-08-10 13:12,0.069958848,3,0
3,48,0.212372211,0.364545515,0.061112537,0.933402095,0.165076275,0.918085882,0.217556355,0.201875064,0.967741935,0,2025-08-10 13:12,0.095433333,6,1
9,48,0.03335572,0,0.046816667,0.964370539,0.053741828,0.889201166,0.043367279,0.123072035,0.967741935,0,2025-08-10 13:12,0.094693878,2,0
7,48,0.252667711,0.135959887,0.063374539,0.931662951,0.054397732,0.921289492,0.104989453,0.10816384,0.967741935,0,2025-08-10 13:12,0.098924419,5,0
10,48,0.538467279,0.137228375,0.095780734,0.885260638,0.031546876,0.924754638,0.209223245,0.333681011,0.903225806,0,2025-08-10 13:12,0.100458333,6,1
6,48,0.09894784,0.031621717,0.057259539,0.940092288,0.106997017,0.902898593,0.262815764,0.277554984,0.967741935,0,2025-08-10 13:12,0.095248227,5,0
5,48,0.466308484,0.140886592,0.073818548,0.911350558,0.054207308,0.922653041,0.101609799,0.100646801,0.935483871,0,2025-08-10 13:12,0.100256,4,0
4,48,0.679949258,0.26196513,0.068911807,0.918024788,0.140553922,0.982118812,0.006762285,0.101521991,0.935483871,0,2025-08-10 13:12,0.099661572,6,1
1,48,0.436310723,0.343625423,0.135945272,0.835731821,0.02185642,0.932647673,0.131378132,0.263288195,0.935483871,0,2025-08-10 13:12,0.098887015,6,1
2,48,1,0.236185822,0.125612757,0.844347068,0.20686372,0.914103738,0.030699523,0.12574556,0.935483871,0,2025-08-10 13:12,0.102349352,6,1
8,49,0,1,0.000880702,1,0.004443222,0.639481123,0.008580039,0.025884031,0.483870968,0,2025-08-10 13:13,0.069958848,2,0
6,49,0.09894784,0.031621717,0.05706048,0.933527043,0.107504813,0.926096729,0.079722368,0.201773158,1,0,2025-08-10 13:13,0.095928571,5,0
1,49,0.436310723,0.343625423,0.067947374,0.918241836,0.032774052,0.94799245,0.164752223,0.430479376,0.967741935,0,2025-08-10 13:13,0.098887015,7,1
9,49,0.03335572,0,0.04624944,0.954869363,0.052197279,0.913939367,0.007175816,0.096924248,0.967741935,0,2025-08-10 13:13,0.096666667,1,0
10,49,0.538467279,0.137228375,0.136683138,0.830252801,0.030298542,0.923662747,0.000220154,0.09129546,0.903225806,0,2025-08-10 13:13,0.1014446,4,0
3,49,0.212372211,0.364545515,0.063403996,0.932632179,0.213909401,0.915905339,0.120084848,0.310440532,0.967741935,0,2025-08-10 13:13,0.095116279,6,1
7,49,0.252667711,0.135959887,0.066005299,0.920327377,0.076211836,0.915007777,0.214860961,0.408192014,0.967741935,0,2025-08-10 13:13,0.096129944,4,0
5,49,0.466308484,0.140886592,0.093817634,0.887077497,0.053762986,0.915595625,0.051997894,0.19467573,0.967741935,0,2025-08-10 13:13,0.103059211,3,0
4,49,0.679949258,0.26196513,0.146564811,0.817336599,0.17548611,0.974571523,0.095136094,0.147691238,0.967741935,0,2025-08-10 13:13,0.099228261,7,1
2,49,1,0.236185822,0.102048795,0.873342043,0.237395002,0.909052374,0.133668919,0.258648491,0.967741935,0,2025-08-10 13:13,0.101191554,7,1
8,50,0,1,0,1,0.004125849,0.656060705,0.02280077,0.048884733,0.483870968,0,2025-08-10 13:13,0.069958848,2,0
3,50,0.212372211,0.364545515,0.059920848,0.933017137,0.15961746,0.932764675,0.135096942,0.191079061,1,0,2025-08-10 13:13,0.094488449,7,1
7,50,0.252667711,0.135959887,0.060652659,0.935225523,0.056111546,0.932091403,0.110195788,0.086194184,1,0,2025-08-10 13:13,0.098352601,3,0
10,50,0.538467279,0.137228375,0.097448757,0.88145126,0.029875378,0.945396931,0.00553359,0.085642695,0.935483871,0,2025-08-10 13:13,0.100878661,4,0
6,50,0.09894784,0.031621717,0.062496987,0.93516837,0.112328883,0.922012157,0.227793496,0.284562495,1,0,2025-08-10 13:13,0.093263889,5,0
5,50,0.466308484,0.140886592,0.086447517,0.893057816,0.059835389,0.940475525,0.086443003,0.131590148,0.967741935,0,2025-08-10 13:13,0.09914557,5,0
1,50,0.436310723,0.343625423,0.103128501,0.873509756,0.033345323,0.949804577,0.315358092,0.476612657,0.967741935,0,2025-08-10 13:13,0.098720539,7,1
4,50,0.679949258,0.26196513,0.074585533,0.909935935,0.143918075,1,0.096659318,0.173083724,1,0,2025-08-10 13:13,0.100650496,8,1
9,50,0.03335572,0,0.042949523,0.961995229,0.071430083,0.90698357,0.001725528,0.128311184,1,0,2025-08-10 13:13,0.094693878,3,0
2,50,1,0.236185822,0.085072906,0.895930222,0.222668895,0.926250169,0.099940797,0.118420343,0.967741935,1,2025-08-10 13:13,0.101497731,7,1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
