client_rank,round,timestamp,cpu_time,cpu_freq_mhz,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load
1,1,2025-07-25 14:14,284411.9531,2400,778.747904,6694783,101017317,809,0.06
2,1,2025-07-25 14:15,284480.8906,2400,773.419008,6807760,104720333,809,0.01
3,1,2025-07-25 14:14,284393.5781,2400,772.337664,6694701,101017131,809,0.01
4,1,2025-07-25 14:14,284402.2344,2400,778.870784,6694701,101017131,809,0.04
1,2,2025-07-25 14:17,285608.4063,2400,870.95296,7592852,133629475,810,0.01
2,2,2025-07-25 14:17,285404.4688,2400,875.098112,6973091,132573942,809,0.01
3,2,2025-07-25 14:17,285613.625,2400,870.54336,7592852,133629475,810,0.02
4,2,2025-07-25 14:17,285421.8281,2400,871.936,6973566,132574515,809,0.01
1,3,2025-07-25 14:19,286461.7344,2400,921.563136,7632347,133673076,811,0.01
2,3,2025-07-25 14:19,286457.9844,2400,942.22336,7632347,133673076,811,0.01
3,3,2025-07-25 14:19,286467.8125,2400,922.611712,7632347,133673076,811,0.07
4,3,2025-07-25 14:19,286463.1094,2400,936.6528,7632347,133673076,811,0.01
1,4,2025-07-25 14:22,287476.0156,2400,1019.314176,8448321,156867893,838,0
2,4,2025-07-25 14:21,287335.4531,2400,1023.901696,7781417,134372642,855,0
3,4,2025-07-25 14:21,287342.4531,2400,1020.461056,7781668,134372696,855,0
4,4,2025-07-25 14:22,287480.3906,2400,1022.046208,8512685,163159447,838,0
1,5,2025-07-25 14:24,288345.5313,2400,1034.276864,8621254,175714956,843,0.04
2,5,2025-07-25 14:24,288345.5313,2400,1036.14464,8621254,175714956,843,0.04
3,5,2025-07-25 14:24,288472.9375,2400,1040.883712,9635989,398843369,844,0.05
4,5,2025-07-25 14:24,288340.1563,2400,1038.409728,8621254,175714956,843,0.01
1,6,2025-07-25 14:26,289302.2969,2400,1115.963392,9709720,401204592,844,0.01
2,6,2025-07-25 14:26,289324.5625,2400,1119.883264,9709720,401204592,844,0.01
3,6,2025-07-25 14:27,289388.1094,2400,1126.940672,9726168,401219614,844,0.01
4,6,2025-07-25 14:26,289310.1719,2400,1119.576064,9709720,401204592,844,0.06
1,7,2025-07-25 14:29,290255.2656,2400,1108.62336,9832262,412026541,844,0.05
2,7,2025-07-25 14:30,290308.1563,2400,1101.934592,9864925,412102736,845,0.01
3,7,2025-07-25 14:29,290248.625,2400,1110.327296,9832262,412026541,844,0.01
4,7,2025-07-25 14:29,290249.25,2400,1111.072768,9832262,412026541,844,0.01
1,8,2025-07-25 14:31,291141.7969,2400,1171.161088,10034262,412341381,845,0.01
2,8,2025-07-25 14:31,291139.6719,2400,1176.502272,10034262,412341381,845,0.01
3,8,2025-07-25 14:32,291149.5469,2400,1172.76672,10034263,412341381,845,0.11
4,8,2025-07-25 14:32,291148.6719,2400,1168.674816,10034263,412341381,845,0.11
1,9,2025-07-25 14:33,291974.0625,2400,1253.343232,10083591,412431378,845,0.01
2,9,2025-07-25 14:33,291989.2969,2400,1256.697856,10083591,412431464,845,0.07
3,9,2025-07-25 14:33,291989.6719,2400,1254.64576,10083591,412431464,845,0.07
4,9,2025-07-25 14:34,292087.9375,2400,1249.652736,10112092,412503490,845,0.01
1,10,2025-07-25 14:36,292997.5625,2400,1271.218176,10171397,412649263,845,0.01
2,10,2025-07-25 14:37,293214.2969,2400,1276.923904,10204038,412676768,845,0.01
3,10,2025-07-25 14:36,292995.2812,2400,1269.57568,10171397,412649263,845,0.01
4,10,2025-07-25 14:36,293008.5781,2400,1271.545856,10171397,412649263,845,0.1
