client_rank,round,timestamp,cpu_time,cpu_freq_mhz,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load
1,1,2025-07-23 15:02:59,276968.96875,2400.0,13213.872128,24228599,172697369,986.0,0.14
2,1,2025-07-23 15:02:58,276958.890625,2400.0,13459.042304,24228315,172697101,986.0,0.01
3,1,2025-07-23 15:02:59,276963.015625,2400.0,13307.51488,24228457,172697235,986.0,0.01
4,1,2025-07-23 15:02:58,276954.515625,2400.0,13584.805888,24228173,172696967,986.0,0.01
1,2,2025-07-23 15:04:39,277751.515625,2400.0,13587.898368,24265759,172751730,986.0,0.01
2,2,2025-07-23 15:04:39,277752.109375,2400.0,13317.537792,24265759,172751730,986.0,0.01
3,2,2025-07-23 15:04:39,277753.140625,2400.0,13206.71232,24265830,172751797,986.0,0.01
4,2,2025-07-23 15:04:39,277751.640625,2400.0,13470.560256,24265759,172751730,986.0,0.01
1,3,2025-07-23 15:06:18,278533.640625,2400.0,13410.271232,24302563,172814791,986.0,0.01
2,3,2025-07-23 15:06:18,278532.3125,2400.0,13652.979712,24302563,172814791,986.0,0.01
3,3,2025-07-23 15:06:18,278533.6875,2400.0,13368.487936,24302563,172814791,986.0,0.01
4,3,2025-07-23 15:07:08,278596.0937500001,2400.0,10068.508672,24405022,173149501,986.0,0.01
1,4,2025-07-23 15:08:46,279375.1875000001,2400.0,9960.98048,24449343,173220891,986.0,0.01
2,4,2025-07-23 15:08:46,279370.9531250001,2400.0,10258.477056,24449343,173220891,986.0,0.01
3,4,2025-07-23 15:08:46,279374.8906250001,2400.0,10044.534784,24449343,173220891,986.0,0.01
4,4,2025-07-23 15:08:46,279376.1250000001,2400.0,9834.86464,24449343,173220891,986.0,0.01
1,5,2025-07-23 15:10:25,280151.7500000001,2400.0,10279.399424,24491272,173262385,986.0,0.01
2,5,2025-07-23 15:10:25,280153.4687500001,2400.0,10150.019072,24491272,173262385,986.0,0.01
3,5,2025-07-23 15:11:15,280185.9218750001,2400.0,9813.037056,24525850,173340614,986.0,0.01
4,5,2025-07-23 15:11:15,280185.8437500001,2400.0,9966.067712,24525850,173340548,986.0,0.01
